分词,词频
各位,5
召开,5
发展趋势,5
反映,5
双方,5
及其,5
占据,5
十八,5
北京,5
化学,5
勇于探索,5
办法,5
前瞻性,5
准确,5
冲击,5
农民,5
再接再厉,5
具备,5
关键性,5
关注,5
共建,5
共创,5
公众,5
全方位,5
党和政府,5
依赖,5
体系化,5
优秀,5
优势产业,5
优先,5
人口,5
产业结构,5
五号,5
二是,5
乃至,5
为本,5
丰富,5
中东欧,5
世界领先,5
不足,5
一条,5
一是,5
2030,5
高素质,4
高标准,4
高度,4
飞机,4
顺应,4
面对,4
集合,4
限度,4
阿拉伯,4
队伍,4
重大成就,4
重任,4
采用,4
遇到,4
速度,4
通道,4
途径,4
适用,4
适合,4
远程,4
这一,4
还要,4
还是,4
运营,4
运动,4
迈进,4
迈出,4
载体,4
软件,4
跨界,4
超导,4
走上,4
赋能,4
调查,4
调动,4
读书,4
试验,4
议程,4
解决方案,4
规范,4
规模化,4
观念,4
表率,4
补齐,4
衔接,4
蕴藏,4
落脚点,4
获得,4
药品,4
英雄,4
英国,4
若干个,4
良种,4
航天事业,4
舞台,4
自然科学,4
脑科学,4
胸怀祖国,4
职工队伍,4
耕地,4
综合性,4
统一,4
经贸合作,4
纽带,4
紧扣,4
粮食,4
符合,4
科研活动,4
科普活动,4
种源,4
社会各界,4
示范区,4
着眼,4
相比,4
直接,4
目的,4
疫病,4
畅通,4
电子商务,4
电力,4
生产率,4
环保,4
率先,4
狠抓,4
特征,4
牵引,4
物理,4
热情,4
火星,4
演化,4
渠道,4
深远,4
深地,4
涌流,4
海南,4
浩瀚,4
流向,4
沟通,4
污染,4
汇聚,4
求真务实,4
永远,4
氛围,4
民营,4
每个,4
武器,4
正确,4
桥梁,4
标志性,4
本质,4
望远镜,4
服务体系,4
有所,4
有待,4
有利条件,4
更为,4
明显,4
时候,4
新机遇,4
新形势下,4
敢为人先,4
摆在,4
接续,4
排放,4
指导,4
拉动,4
抢抓,4
抗击,4
投身,4
技术水平,4
技术改造,4
扩大内需,4
所有,4
战略重点,4
战略目标,4
成效,4
思路,4
态度,4
态势,4
必要,4
必然,4
必将,4
很强,4
强有力,4
强劲,4
建造,4
建议,4
延伸,4
广泛应用,4
市场经济,4
工程技术,4
履行,4
封闭,4
导致,4
对华,4
密集,4
密切,4
宣传,4
实际行动,4
宝贵,4
学术交流,4
嫦娥,4
好奇心,4
奋力,4
天然气,4
大批,4
大幅度提高,4
大家,4
大型,4
大国,4
大兴,4
多种形式,4
复苏,4
复工,4
复产,4
壁垒,4
基础科学,4
基础理论,4
培训,4
地为,4
地上,4
圆满成功,4
国际标准,4
周年,4
吸引力,4
向往,4
向善,4
各自,4
发达国家,4
发射场,4
十国集团,4
医疗器械,4
勘探,4
勇挑重担,4
助力,4
力争,4
前进,4
初心,4
出路,4
出发点,4
凸显,4
准备,4
决定性,4
决定,4
内涵,4
内地,4
其中,4
兴海,4
关于,4
公里,4
公开,4
公共服务,4
公共安全,4
全过程,4
党和人民,4
党史,4
光荣,4
先发,4
信息产业,4
保护主义,4
依法,4
企业家,4
从量,4
仍然,4
今后,4
亿元,4
人文,4
人力资源,4
亚太地区,4
亚太,4
互惠,4
事情,4
之一,4
久久,4
主导,4
为功,4
临床,4
中南,4
中关村,4
严峻,4
专项,4
专注,4
专利,4
不同,4
三是,4
一茬,4
一线,4
一系列,4
一直,4
一步,4
一样,4
一大,4
500,4
20,4
龙头企业,3
骄傲,3
顺利,3
革命性,3
非常,3
集中,3
陷入,3
限制,3
附加值,3
防灾,3
长板,3
长效机制,3
长征,3
锻造,3
重要性,3
重构,3
里程碑,3
那么,3
遏制,3
透明,3
适用技术,3
追赶,3
追求真理,3
迭代,3
连接,3
这里,3
这些年来,3
近代,3
迅猛发展,3
辉煌,3
较强,3
转向,3
轨道交通,3
轨道,3
路线图,3
跨越式,3
超过,3
超级计算机,3
超大规模,3
起点,3
起源,3
资源节约型,3
资源优势,3
贸易,3
调配,3
调控,3
识别,3
评估,3
认真总结,3
认真,3
解放思想,3
解放,3
规模宏大,3
观测,3
观察,3
表明,3
行列,3
行不通,3
著名,3
营商,3
菌草,3
获取,3
英才,3
节约型,3
良性,3
良好环境,3
至今,3
自由,3
自然,3
自我,3
自动化,3
脱颖而出,3
脉搏,3
能量,3
能源技术,3
能源安全,3
聚集,3
联盟,3
职责,3
老一辈,3
群体,3
网络空间,3
网络安全,3
缺乏,3
绩效,3
结果,3
经济体,3
组成部分,3
紧迫,3
紧紧,3
紧密结合,3
素养,3
系统集成,3
系列,3
精深,3
精心,3
篇章,3
简单,3
筑牢,3
第四,3
第二次,3
第三,3
竞技,3
称号,3
积极开展,3
科研工作,3
科教兴国,3
科技含量,3
科学素养,3
种植,3
社会公众,3
确立,3
硬件,3
研究成果,3
石油,3
知名品牌,3
相对,3
相信,3
相互,3
直面,3
监测,3
盐碱地,3
疾病,3
留下,3
生物制药,3
生存,3
生力军,3
生产能力,3
生产总值,3
理想,3
环境保护,3
牢记,3
牛鼻子,3
爱国主义,3
煤炭,3
潜在,3
演进,3
满腔热情,3
深空,3
深入研究,3
消耗,3
消化,3
涅槃,3
海外,3
浪潮,3
浙江大学,3
流通,3
流程,3
法律法规,3
油田,3
求实,3
水稻,3
气力,3
武器装备,3
根本性,3
根据,3
核聚变,3
极大,3
来自,3
机会,3
有限,3
有所为有所不为,3
最新,3
最好,3
最前沿,3
更趋,3
智库,3
是从,3
既要,3
无私奉献,3
无国界,3
无人区,3
施工,3
方针,3
新动力,3
斗争,3
数量,3
数据安全,3
数据共享,3
敞开大门,3
政策措施,3
政务,3
搭建,3
措施,3
推向,3
控制,3
探求,3
振兴,3
挂帅,3
拼搏,3
报国,3
投向,3
扩展,3
扎实,3
战胜,3
战斗力,3
战争,3
成才,3
成员,3
慧眼,3
感到,3
意志,3
急迫,3
快车道,3
形态,3
形式,3
当好,3
强盛,3
开放型,3
开拓,3
开发利用,3
开创,3
建功立业,3
底层,3
广阔,3
广大职工,3
并行,3
年轻人,3
干事,3
帮助,3
带领,3
市场主体,3
巩固,3
工艺,3
崇高,3
峰会,3
层次,3
尽早,3
尊重知识,3
射电,3
对于,3
密集型,3
家园,3
实践证明,3
实战,3
完备,3
安排,3
孩子,3
学生,3
学术性,3
奖励,3
奋起直追,3
奋斗者,3
奋发有为,3
奋勇争先,3
奉献,3
天问,3
天下,3
大省,3
大潮,3
大庆,3
大局,3
大协作,3
大力提高,3
大力加强,3
多种,3
多样化,3
多极化,3
多条,3
壮大,3
增值,3
基石,3
基因,3
城乡,3
垄断,3
坚守,3
在线教育,3
国际化,3
国际交流,3
国民经济,3
国情,3
国产化,3
国产,3
困难,3
因此,3
四是,3
四个,3
善于,3
商品,3
品格,3
和谐社会,3
后学,3
后备,3
同志,3
各方,3
可靠,3
可行,3
只争朝夕,3
另一方面,3
口径,3
叠加,3
变成,3
发起,3
发展观,3
发展中国家,3
反复,3
双轮,3
双循环,3
原理,3
原因,3
压力,3
占有,3
占优势,3
十年,3
十四五,3
十一五,3
北斗,3
努力奋斗,3
动态,3
动员,3
务实,3
功勋,3
办事,3
前沿技术,3
前提,3
创新力,3
分配,3
分布,3
出台,3
凤凰,3
减灾,3
决心,3
决定权,3
冰雪,3
农田,3
内容,3
关起门来,3
共赢,3
共同努力,3
公平竞争,3
公共卫生,3
全力,3
党建,3
光电子,3
先手棋,3
充满,3
充分调动,3
元器件,3
假设,3
倡导,3
供应,3
作贡献,3
位居,3
伟大事业,3
会议,3
优质,3
优秀青年,3
优秀人才,3
以水定,3
从而,3
从点,3
从根本上,3
亿美元,3
人梯,3
人机,3
人才资源,3
交流思想,3
交汇,3
互鉴,3
互联互通,3
争取,3
之光,3
主导作用,3
主导产业,3
主场,3
主动性,3
为先,3
为了,3
中药,3
严重,3
两个,3
专门,3
专家,3
与时俱进,3
与会代表,3
不确定性,3
不断涌现,3
不合理,3
不可,3
上升,3
万物,3
一路,3
一流大学,3
一流人才,3
一步一个脚印,3
一方面,3
一座,3
一带,3
一代人,3
21,3
鲜活,2
高铁,2
高耗能,2
高精尖,2
高端化,2
高科技,2
高品质,2
高兴,2
驱动力,2
马克思主义,2
首个,2
风能,2
领跑者,2
领导人,2
领军人物,2
预警,2
革新,2
革故鼎新,2
面貌,2
面向未来,2
面前,2
青年才俊,2
青年人,2
零部件,2
集智,2
集思广益,2
集团,2
集体,2
集中统一,2
雄心壮志,2
难点,2
难度,2
难以,2
防护,2
门槛,2
长期实践,2
锐意,2
销售市场,2
链条,2
铭记,2
铁路,2
钻研,2
钢铁,2
针对性,2
金融机构,2
金融服务,2
金融危机,2
重点学科,2
重心,2
重大项目,2
重复,2
释放出来,2
采样,2
采取,2
部队,2
那种,2
逼人,2
通力合作,2
适当,2
追逐,2
追踪,2
迸发,2
迫切,2
连续,2
进而,2
这么,2
返回,2
近期,2
运载火箭,2
运转,2
达成,2
辛勤劳动,2
身体健康,2
跻身,2
跨部门,2
跨学科,2
跨境,2
跟踪,2
跟不上,2
赶超,2
走向,2
资金投入,2
资源整合,2
资源共享,2
资本主义,2
资产,2
贯彻落实,2
质疑,2
财税,2
负责制,2
负责,2
诸多,2
语音,2
诞生,2
诚信,2
试剂,2
诊疗,2
识才,2
评审,2
证明,2
设置,2
论资排辈,2
论证,2
讲话,2
训练,2
讨不来,2
认真贯彻,2
认可,2
解放出来,2
要用,2
补短,2
行者,2
行星,2
行政,2
蜕变,2
藩篱,2
蓝色,2
蓄电池,2
落地,2
荣誉性,2
节约用水,2
节点,2
节水型,2
航空航天,2
航母,2
至关重要,2
至上,2
自然灾害,2
自强,2
腾笼,2
脱贫,2
脚步,2
胡锦涛,2
背景,2
肥料,2
联合国,2
联合作战,2
联合体,2
职称,2
职工群众,2
而战,2
而后,2
而且,2
老百姓,2
美好未来,2
美好,2
网上,2
编辑,2
绿色通道,2
综合利用,2
继续抓好,2
绝不能,2
经过,2
经济总量,2
终身,2
纳米,2
繁重,2
紧迫性,2
紧跟,2
精心组织,2
精华,2
粤港澳,2
粗放,2
管制,2
第五代,2
第五,2
第二产业,2
第三产业,2
第一线,2
第一位,2
第一个,2
立项,2
立足于,2
突飞猛进,2
突出贡献,2
空间科学,2
空白,2
空天,2
空前,2
税收,2
积极主动,2
科研项目,2
科研成果,2
科技兴农,2
科技产业,2
科学态度,2
科学事业,2
种质,2
种种,2
福建,2
神威,2
磁共振,2
碳化,2
硬骨头,2
砥砺,2
石油工业,2
知识型,2
知识分子,2
着眼于,2
眼睛,2
真知,2
真理,2
省属,2
省区市,2
相连,2
相对论,2
目光,2
益民,2
百舸争流,2
百千万,2
疏通,2
疆域,2
电子政务,2
电子信息,2
电动汽车,2
生机,2
生命安全,2
甘为,2
球面,2
现状,2
现代科技,2
现代科学,2
现代战争,2
环境治理,2
环境友好,2
环境压力,2
猜想,2
状况,2
特殊,2
特有,2
牢固,2
版图,2
爱港,2
爱护,2
爱才如命,2
爱因斯坦,2
煤基,2
煤化工,2
焕发,2
烯烃,2
激情,2
潜质,2
潜心,2
滞后,2
溯源,2
港口,2
清醒,2
深潜,2
深层次,2
深圳,2
深刻印象,2
深入基层,2
深入分析,2
淡泊名利,2
淘汰,2
涵养,2
浓厚,2
测控,2
活跃期,2
治学,2
汽车产业,2
污染物,2
汗水,2
求贤若渴,2
求证,2
永无止境,2
水电,2
水产业,2
气候,2
比十所,2
毒株,2
正式,2
欺凌,2
概念,2
楷模,2
植物,2
梯队,2
框架,2
栽培,2
格外,2
根基,2
枢纽,2
林业,2
极好,2
杰出,2
来说,2
来华,2
来到,2
杠杆,2
权利,2
机械化,2
本次,2
本届,2
本国,2
期盼,2
期望,2
服务大局,2
有赖于,2
有望,2
有效途径,2
有关,2
最强,2
最后,2
最具,2
最为,2
更能,2
更新,2
智慧结晶,2
普遍,2
显现,2
是因为,2
星空,2
明显增强,2
时艰,2
时代性,2
时不我待,2
早就,2
日益增长,2
无限,2
无论是,2
施肥,2
施展才华,2
施展,2
新药,2
新知,2
新格局,2
新技能,2
新世纪,2
文昌,2
整个,2
数据中心,2
敢于创新,2
教学,2
敏锐,2
政府职能,2
政党,2
放眼,2
放开,2
放大,2
攻破,2
支撑体系,2
支出,2
搞上去,2
揭榜,2
提速,2
提携,2
接着,2
探寻,2
捐赠,2
指挥棒,2
指挥,2
指导方针,2
拔尖,2
拉长,2
拉大,2
拆除,2
投入产出,2
抓起,2
抓住机遇,2
技能,2
技术革新,2
技术含量,2
承载,2
承诺,2
承接,2
找准,2
扶持,2
执法,2
打开,2
打压,2
扎扎实实,2
所谓,2
所用,2
所属,2
所在,2
所享,2
战略部署,2
战略地位,2
战法,2
战场,2
成功经验,2
恩格斯,2
恢复,2
总量,2
总结,2
总和,2
总体目标,2
总体,2
总书记,2
必然选择,2
心脏,2
心无旁骛,2
心信,2
微观世界,2
待遇,2
往往,2
当地,2
当今,2
归纳,2
归根到底,2
开阔,2
开门,2
开采,2
开通,2
开拓进取,2
开拓者,2
开动脑筋,2
应有,2
应变,2
广泛开展,2
幸福感,2
幸福,2
并存,2
年轻,2
年均,2
干细胞,2
市场需求,2
己任,2
工程师,2
工商企业,2
工匠,2
工具,2
工人阶级,2
崛起,2
岗位,2
山海,2
居民,2
就会,2
少数,2
尊崇,2
导航系统,2
导航,2
寻求,2
对话,2
对标,2
宽容,2
审查,2
审批,2
实验,2
实处,2
宝藏,2
定位,2
宏伟目标,2
完全,2
安全感,2
宇宙空间,2
学风,2
学科建设,2
学历,2
学会,2
学习型,2
孜孜,2
始终保持,2
如金,2
好奇,2
奖掖,2
奖励制度,2
奋战,2
夺取,2
失败,2
太阳能,2
太湖,2
天文学家,2
天文台,2
天地,2
大都市,2
大赛,2
大湾,2
大有可为,2
大有,2
大幅度,2
大师,2
大大,2
大多,2
大城市,2
大力推广,2
多点,2
多渠道,2
多方,2
多元化,2
外部,2
外资企业,2
外资,2
处理,2
墨子,2
增至,2
增添,2
增加值,2
填补,2
基层,2
基因组,2
培养能力,2
培养人才,2
城镇化,2
坚实基础,2
坚定信念,2
坚定信心,2
地表,2
地外,2
土地,2
图强,2
国际贸易,2
国际形势,2
国防建设,2
国门,2
国计民生,2
国家队,2
国之,2
唯才,2
响应,2
品质,2
咨询,2
命脉,2
周期长,2
周期,2
周围,2
告诉,2
呈现,2
吹响,2
吸纳,2
启示,2
启动,2
听取,2
同行,2
同等,2
同一,2
合成,2
合作项目,2
各展,2
号角,2
史学,2
只要,2
古今中外,2
变革性,2
变局,2
受益,2
受制于人,2
取决于,2
发达,2
发电,2
发明专利,2
发明,2
发挥作用,2
发布,2
发展壮大,2
双边,2
双向,2
友谊,2
友好,2
参加,2
原来,2
原材料,2
原型机,2
历史使命,2
卫生,2
博采众长,2
博览会,2
南极,2
单边主义,2
单位,2
华龙,2
千百年来,2
千帆竞发,2
十二五,2
十三,2
医用,2
医学,2
勤奋,2
勘查,2
勇闯,2
勇当,2
劳动密集型,2
劲头,2
励志,2
努力提高,2
加速器,2
加工,2
功以,2
办公,2
前沿科学,2
前景,2
前人,2
制品,2
制冰,2
判断,2
初步,2
初期,2
创科,2
创牌,2
创新性,2
创建,2
列强,2
切实增强,2
分钱,2
分类,2
分离,2
分物,2
分析,2
出身,2
出现,2
凭借,2
几千年,2
几代,2
几个,2
凝结,2
凝练,2
减少,2
准则,2
决胜,2
冠军,2
农副产品,2
农作物,2
农业科研,2
再造,2
再生资源,2
再生能源,2
再次,2
内部,2
内在,2
养老,2
养殖,2
养成,2
具体,2
其能,2
兴趣,2
关键时刻,2
关键作用,2
关怀,2
共克,2
公益性,2
公民,2
公共,2
八方,2
八大,2
全面提高,2
全力支持,2
全军,2
全党全国,2
全体,2
党的建设,2
党委,2
克服困难,2
克服,2
光谱,2
光荣传统,2
光子,2
先试,2
先行,2
先人,2
充满活力,2
充分认识,2
充分利用,2
充分体现,2
做出,2
倒逼,2
倍增,2
信贷,2
信任,2
保鲜,2
保障机制,2
保障体系,2
保险,2
便捷,2
依然,2
依存度,2
供需,2
使用权,2
使命感,2
作风,2
体会,2
住房,2
但是,2
传承,2
优质产品,2
优秀品质,2
优先发展,2
众多,2
企业界,2
价值观,2
价值体系,2
以新,2
以往,2
以后,2
以南,2
付出,2
从小,2
从中,2
仁东,2
什么,2
人必,2
人心,2
人尽其才,2
人与自然,2
产量,2
产出,2
产值,2
