原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
,前沿性,1.0,,,
,创新能力,1.0,,,
,决定,1.0,,,
,关键,1.0,,,
,先机,1.0,,,
,先手棋,1.0,,,
,充分体现,1.0,,,
,体系,1.0,,,
,伟大事业,1.0,,,
,任务,1.0,,,
,主动仗,1.0,,,
,不是,1.0,,,
,不断,1.0,,,
,一片,1.0,,,
,一席之地,1.0,,,
,,,,,
要坚持问题导向，解放思想，通过全面深化改革开放，给创新创业创造以更好的环境，着力解决影响创新创业创造的突出体制机制问题，营造鼓励创新创业创造的社会氛围，特别是要为中小企业、年轻人发展提供有利条件，为高技术企业成长建立加速机制。,创造,3.0,创业,创业,创新
,创新,3.0,创造,创造,发展
,创业,3.0,创新,创新,企业
,问题,2.0,机制,机制,社会
,机制,2.0,解放思想,解放思想,坚持
,鼓励,1.0,深化改革,深化改革,问题
,高技术,1.0,高技术,高技术,全面
,通过,1.0,有利条件,有利条件,创造
,解放思想,1.0,问题,问题,机制
,解决,1.0,导向,导向,环境
,营造,1.0,氛围,氛围,提供
,突出,1.0,营造,营造,开放
,社会,1.0,着力,着力,鼓励
,着力,1.0,年轻人,年轻人,建立
,环境,1.0,体制,体制,解决
,特别,1.0,,,
,深化改革,1.0,,,
,氛围,1.0,,,
,有利条件,1.0,,,
,更好,1.0,,,
,提供,1.0,,,
,成长,1.0,,,
,影响,1.0,,,
,开放,1.0,,,
,建立,1.0,,,
,年轻人,1.0,,,
,导向,1.0,,,
,坚持,1.0,,,
,发展,1.0,,,
,加速,1.0,,,
,全面,1.0,,,
,体制,1.0,,,
,企业,1.0,,,
,中小企业,1.0,,,
,,,,,
当前随着新一轮科技革命和产业变革孕育兴起，新能源汽车产业正进入加速发展的新阶段，不仅为各国经济增长注入强劲新动能，也有助于减少温室气体排放，应对气候变化挑战，改善全球生态环境。,革命,1.0,汽车产业,汽车产业,科技
,随着,1.0,孕育,孕育,发展
,阶段,1.0,生态环境,生态环境,经济
,进入,1.0,温室,温室,产业
,经济,1.0,动能,动能,全球
,科技,1.0,变革,变革,变革
,生态环境,1.0,新一轮,新一轮,革命
,温室,1.0,气候变化,气候变化,各国
,注入,1.0,兴起,兴起,新一轮
,汽车产业,1.0,有助于,有助于,当前
,气候变化,1.0,排放,排放,增长
,气体,1.0,挑战,挑战,动能
,有助于,1.0,气体,气体,挑战
,新能源,1.0,注入,注入,进入
,新一轮,1.0,新能源,新能源,加速
,改善,1.0,,,
,排放,1.0,,,
,挑战,1.0,,,
,当前,1.0,,,
,强劲,1.0,,,
,应对,1.0,,,
,孕育,1.0,,,
,增长,1.0,,,
,各国,1.0,,,
,变革,1.0,,,
,发展,1.0,,,
,动能,1.0,,,
,加速,1.0,,,
,减少,1.0,,,
,兴起,1.0,,,
,全球,1.0,,,
,产业,1.0,,,
,不仅,1.0,,,
,,,,,
中国坚持走绿色、低碳、可持续发展道路，愿同国际社会一道，加速推进新能源汽车科技创新和相关产业发展，为建设清洁美丽世界、推动构建人类命运共同体作出更大贡献。希望各位嘉宾深入交流、凝聚共识，深化新能源汽车产业交流合作，让创新科技发展成果更好造福世界各国人民。,发展,3.0,交流,交流,创新
,科技,2.0,新能源,新能源,科技
,新能源,2.0,低碳,低碳,发展
,创新,2.0,愿同,愿同,建设
,交流,2.0,科技,科技,推动
,世界,2.0,创新,创新,产业
,道路,1.0,发展,发展,合作
,造福,1.0,造福,造福,中国
,贡献,1.0,汽车产业,汽车产业,世界
,美丽,1.0,世界,世界,国际
,绿色,1.0,嘉宾,嘉宾,社会
,社会,1.0,共同体,共同体,推进
,相关,1.0,凝聚,凝聚,坚持
,清洁,1.0,各位,各位,人类
,深化,1.0,构建,构建,人民
,深入,1.0,,,
,汽车产业,1.0,,,
,汽车,1.0,,,
,构建,1.0,,,
,更好,1.0,,,
,更大,1.0,,,
,推进,1.0,,,
,推动,1.0,,,
,持续,1.0,,,
,成果,1.0,,,
,愿同,1.0,,,
,建设,1.0,,,
,希望,1.0,,,
,坚持,1.0,,,
,国际,1.0,,,
,嘉宾,1.0,,,
,命运,1.0,,,
,合作,1.0,,,
,各国,1.0,,,
,各位,1.0,,,
,加速,1.0,,,
,凝聚,1.0,,,
,共识,1.0,,,
,共同体,1.0,,,
,作出,1.0,,,
,低碳,1.0,,,
,人类,1.0,,,
,人民,1.0,,,
,产业,1.0,,,
,中国,1.0,,,
,一道,1.0,,,
,,,,,
当前，以互联网、大数据、人工智能等为代表的现代信息技术日新月异，新一轮科技革命和产业变革蓬勃推进，智能产业快速发展，对经济发展、社会进步、全球治理等方面产生重大而深远影响。,发展,2.0,产业,产业,科技
,产业,2.0,日新月异,日新月异,发展
,革命,1.0,蓬勃,蓬勃,经济
,重大,1.0,人工智能,人工智能,产业
,进步,1.0,深远影响,深远影响,社会
,蓬勃,1.0,信息技术,信息技术,推进
,经济,1.0,变革,变革,重大
,科技,1.0,新一轮,新一轮,全球
,社会,1.0,智能,智能,人工智能
,现代,1.0,发展,发展,变革
,深远影响,1.0,互联网,互联网,方面
,治理,1.0,治理,治理,革命
,智能,1.0,进步,进步,现代
,日新月异,1.0,科技,科技,新一轮
,方面,1.0,快速,快速,数据
,新一轮,1.0,,,
,数据,1.0,,,
,推进,1.0,,,
,快速,1.0,,,
,当前,1.0,,,
,变革,1.0,,,
,全球,1.0,,,
,信息技术,1.0,,,
,代表,1.0,,,
,人工智能,1.0,,,
,产生,1.0,,,
,互联网,1.0,,,
,,,,,
中国高度重视智能产业发展，加快数字产业化、产业数字化，推动数字经济和实体经济深度融合。中国愿同国际社会一道，共创智能时代，共享智能成果。,智能,3.0,智能,智能,发展
,经济,2.0,数字,数字,经济
,数字,2.0,愿同,愿同,推动
,产业,2.0,产业,产业,加快
,中国,2.0,共创,共创,产业
,高度重视,1.0,数字化,数字化,中国
,融合,1.0,共享,共享,国际
,社会,1.0,产业化,产业化,数字
,深度,1.0,高度重视,高度重视,社会
,时代,1.0,融合,融合,融合
,数字化,1.0,经济,经济,成果
,推动,1.0,深度,深度,深度
,成果,1.0,实体,实体,时代
,愿同,1.0,成果,成果,高度重视
,实体,1.0,一道,一道,智能
,国际,1.0,,,
,发展,1.0,,,
,加快,1.0,,,
,共创,1.0,,,
,共享,1.0,,,
,产业化,1.0,,,
,一道,1.0,,,
,,,,,
要坚持网络安全教育、技术、产业融合发展，形成人才培养、技术创新、产业发展的良性生态。要坚持促进发展和依法管理相统一，既大力培育人工智能、物联网、下一代通信网络等新技术新应用，又积极利用法律法规和标准规范引导新技术应用。要坚持安全可控和开放创新并重，立足于开放环境维护网络安全，加强国际交流合作，提升广大人民群众在网络空间的获得感、幸福感、安全感。,技术,3.0,网络安全,网络安全,创新
,坚持,3.0,坚持,坚持,发展
,发展,3.0,技术,技术,技术
,网络安全,2.0,开放,开放,加强
,开放,2.0,网络空间,网络空间,产业
,应用,2.0,标准规范,标准规范,合作
,产业,2.0,应用,应用,坚持
,通信,1.0,产业,产业,提升
,融合,1.0,发展,发展,促进
,获得,1.0,幸福感,幸福感,人工智能
,良性,1.0,国际交流,国际交流,融合
,联网,1.0,人才培养,人才培养,人民
,群众,1.0,安全感,安全感,形成
,网络空间,1.0,人工智能,人工智能,应用
,网络,1.0,立足于,立足于,广大
,维护,1.0,,,
,统一,1.0,,,
,管理,1.0,,,
,立足于,1.0,,,
,积极,1.0,,,
,生态,1.0,,,
,环境,1.0,,,
,法律法规,1.0,,,
,标准规范,1.0,,,
,教育,1.0,,,
,提升,1.0,,,
,技术创新,1.0,,,
,形成,1.0,,,
,引导,1.0,,,
,广大,1.0,,,
,幸福感,1.0,,,
,并重,1.0,,,
,安全感,1.0,,,
,安全,1.0,,,
,大力,1.0,,,
,培育,1.0,,,
,国际交流,1.0,,,
,合作,1.0,,,
,可控,1.0,,,
,加强,1.0,,,
,利用,1.0,,,
,创新,1.0,,,
,促进,1.0,,,
,依法,1.0,,,
,人民,1.0,,,
,人才培养,1.0,,,
,人工智能,1.0,,,
,下一代,1.0,,,
,,,,,
黄河水资源量就这么多，搞生态建设要用水，发展经济、吃饭过日子也离不开水，不能把水当作无限供给的资源。“有多少汤泡多少馍”。要坚持以水定城、以水定地、以水定人、以水定产，把水资源作为最大的刚性约束，合理规划人口、城市和产业发展，坚决抑制不合理用水需求，大力发展节水产业和技术，大力推进农业节水，实施全社会节水行动，推动用水方式由粗放向节约集约转变。,用水,3.0,以水定,以水定,发展
,以水定,3.0,用水,用水,技术
,节水,2.0,节水,节水,经济
,多少,2.0,定产,定产,推动
,发展,2.0,水资源量,水资源量,产业
,黄河,1.0,汤泡,汤泡,社会
,需求,1.0,以水,以水,推进
,集约,1.0,生态建设,生态建设,农业
,这么,1.0,多少,多少,坚持
,过日子,1.0,水产业,水产业,资源
,转变,1.0,集约,集约,实施
,资源,1.0,粗放,粗放,需求
,规划,1.0,水资源,水资源,作为
,行动,1.0,过日子,过日子,转变
,节约,1.0,刚性,刚性,方式
,经济,1.0,,,
,约束,1.0,,,
,粗放,1.0,,,
,离不开,1.0,,,
,社会,1.0,,,
,生态建设,1.0,,,
,汤泡,1.0,,,
,水资源量,1.0,,,
,水资源,1.0,,,
,水产业,1.0,,,
,最大,1.0,,,
,无限,1.0,,,
,方式,1.0,,,
,推进,1.0,,,
,推动,1.0,,,
,抑制,1.0,,,
,技术,1.0,,,
,当作,1.0,,,
,实施,1.0,,,
,定产,1.0,,,
,大力发展,1.0,,,
,大力,1.0,,,
,城市,1.0,,,
,坚持,1.0,,,
,坚决,1.0,,,
,合理,1.0,,,
,吃饭,1.0,,,
,刚性,1.0,,,
,农业,1.0,,,
,供给,1.0,,,
,作为,1.0,,,
,以水,1.0,,,
,人口,1.0,,,
,产业,1.0,,,
,不能,1.0,,,
,不合理,1.0,,,
,,,,,
城市轨道交通是现代大城市交通的发展方向。发展轨道交通是解决大城市病的有效途径，也是建设绿色城市、智能城市的有效途径。北京要继续大力发展轨道交通，构建综合、绿色、安全、智能的立体化现代化城市交通系统，始终保持国际最先进水平，打造现代化国际大都市。,城市,4.0,轨道交通,轨道交通,发展
,轨道交通,3.0,城市,城市,建设
,绿色,2.0,有效途径,有效途径,国际
,现代化,2.0,大城市,大城市,水平
,有效途径,2.0,智能,智能,安全
,智能,2.0,绿色,绿色,现代化
,大城市,2.0,现代化,现代化,构建
,国际,2.0,立体化,立体化,现代
,发展,2.0,交通系统,交通系统,先进
,解决,1.0,大都市,大都市,打造
,综合,1.0,国际,国际,解决
,继续,1.0,始终保持,始终保持,绿色
,立体化,1.0,大力发展,大力发展,继续
,现代,1.0,构建,构建,方向
,水平,1.0,打造,打造,智能
,构建,1.0,,,
,方向,1.0,,,
,打造,1.0,,,
,建设,1.0,,,
,安全,1.0,,,
,始终保持,1.0,,,
,大都市,1.0,,,
,大力发展,1.0,,,
,北京,1.0,,,
,先进,1.0,,,
,交通系统,1.0,,,
,交通,1.0,,,
,,,,,
建设内外部联通的综合交通体系，是提高机场运行效率的关键。要树立先进管理理念，运用现代信息技术，提高管理运营智能化、便利化水平。,管理,2.0,便利化,便利化,建设
,提高,2.0,内外部,内外部,体系
,运行,1.0,提高,提高,关键
,运营,1.0,管理,管理,提高
,运用,1.0,联通,联通,水平
,联通,1.0,智能化,智能化,现代
,综合,1.0,信息技术,信息技术,先进
,理念,1.0,树立,树立,管理
,现代,1.0,理念,理念,信息技术
,水平,1.0,机场,机场,运用
,树立,1.0,运营,运营,理念
,机场,1.0,效率,效率,智能化
,智能化,1.0,先进,先进,综合
,效率,1.0,运用,运用,效率
,建设,1.0,关键,关键,树立
,内外部,1.0,,,
,关键,1.0,,,
,先进,1.0,,,
,信息技术,1.0,,,
,便利化,1.0,,,
,体系,1.0,,,
,交通,1.0,,,
,,,,,
既要高质量建设大兴国际机场，更要高水平运营大兴国际机场。要把大兴国际机场打造成为国际一流的平安机场、绿色机场、智慧机场、人文机场，打造世界级航空枢纽，向世界展示中国人民的智慧和力量，展示中国开放包容和平合作的博大胸怀。,机场,7.0,机场,机场,建设
,国际,4.0,大兴,大兴,合作
,大兴,3.0,国际,国际,中国
,智慧,2.0,智慧,智慧,世界
,打造,2.0,展示,展示,国际
,展示,2.0,打造,打造,人民
,中国,2.0,博大胸怀,博大胸怀,成为
,高质量,1.0,包容,包容,力量
,高水平,1.0,世界级,世界级,开放
,运营,1.0,高质量,高质量,打造
,航空,1.0,更要,更要,绿色
,绿色,1.0,人文,人文,高质量
,枢纽,1.0,高水平,高水平,智慧
,更要,1.0,一流,一流,高水平
,成为,1.0,枢纽,枢纽,一流
,开放,1.0,,,
,建设,1.0,,,
,平安,1.0,,,
,和平,1.0,,,
,合作,1.0,,,
,博大胸怀,1.0,,,
,包容,1.0,,,
,力量,1.0,,,
,人民,1.0,,,
,人文,1.0,,,
,世界级,1.0,,,
,世界,1.0,,,
,一流,1.0,,,
,,,,,
当前，新一轮科技革命和产业变革不断推进，科技同经济、社会、文化、生态深入协同发展，对人类文明演进和全球治理体系发展产生深刻影响。以科技创新推动可持续发展成为破解各国关心的一些重要全球性问题的必由之路。,科技,3.0,科技,科技,创新
,发展,3.0,发展,发展,科技
,革命,1.0,必由之路,必由之路,发展
,问题,1.0,深刻影响,深刻影响,经济
,重要,1.0,人类文明,人类文明,推动
,经济,1.0,演进,演进,产业
,社会,1.0,破解,破解,重要
,破解,1.0,全球性,全球性,体系
,生态,1.0,协同,协同,社会
,演进,1.0,生态,生态,推进
,深刻影响,1.0,变革,变革,全球
,深入,1.0,新一轮,新一轮,问题
,治理,1.0,治理,治理,不断
,新一轮,1.0,关心,关心,变革
,文化,1.0,深入,深入,成为
,推进,1.0,,,
,推动,1.0,,,
,持续,1.0,,,
,成为,1.0,,,
,必由之路,1.0,,,
,当前,1.0,,,
,各国,1.0,,,
,变革,1.0,,,
,协同,1.0,,,
,创新,1.0,,,
,关心,1.0,,,
,全球性,1.0,,,
,全球,1.0,,,
,体系,1.0,,,
,人类文明,1.0,,,
,产生,1.0,,,
,产业,1.0,,,
,不断,1.0,,,
,一些,1.0,,,
,,,,,
中国一贯秉持开放合作，坚持把联合国可持续发展议程同本国发展战略和国情有机结合，努力实现更高质量、更有效率、更加公平、更可持续的发展。希望论坛促进各国科学家、教育家、企业家携手合作，凝聚共识，交流思想，深化合作，为推动构建人类命运共同体贡献智慧和力量。,合作,3.0,合作,合作,发展
,发展,3.0,交流思想,交流思想,推动
,持续,2.0,发展,发展,合作
,高质量,1.0,秉持,秉持,中国
,贡献,1.0,持续,持续,战略
,论坛,1.0,议程,议程,坚持
,议程,1.0,有效率,有效率,人类
,联合国,1.0,努力实现,努力实现,促进
,结合,1.0,高质量,高质量,科学家
,科学家,1.0,国情,国情,各国
,秉持,1.0,教育家,教育家,更加
,深化,1.0,共同体,共同体,构建
,构建,1.0,携手,携手,希望
,本国,1.0,凝聚,凝聚,力量
,有机,1.0,一贯,一贯,开放
,有效率,1.0,,,
,更加,1.0,,,
,智慧,1.0,,,
,教育家,1.0,,,
,携手,1.0,,,
,推动,1.0,,,
,战略,1.0,,,
,开放,1.0,,,
,希望,1.0,,,
,坚持,1.0,,,
,国情,1.0,,,
,命运,1.0,,,
,各国,1.0,,,
,努力实现,1.0,,,
,力量,1.0,,,
,凝聚,1.0,,,
,共识,1.0,,,
,共同体,1.0,,,
,公平,1.0,,,
,促进,1.0,,,
,企业家,1.0,,,
,人类,1.0,,,
,交流思想,1.0,,,
,中国,1.0,,,
,一贯,1.0,,,
,,,,,
当前，全球新一轮科技革命和产业革命加速发展，工业互联网技术不断突破，为各国经济创新发展注入了新动能，也为促进全球产业融合发展提供了新机遇。中国高度重视工业互联网创新发展，愿同国际社会一道，持续提升工业互联网创新能力，推动工业化与信息化在更广范围、更深程度、更高水平上实现融合发展。,发展,5.0,互联网,互联网,创新
,工业,3.0,发展,发展,科技
,互联网,3.0,工业,工业,发展
,融合,2.0,融合,融合,技术
,创新,2.0,愿同,愿同,经济
,全球,2.0,创新,创新,推动
,高水平,1.0,新机遇,新机遇,产业
,高度重视,1.0,全球,全球,中国
,革命,1.0,产业革命,产业革命,国际
,范围,1.0,创新能力,创新能力,实现
,经济,1.0,更深,更深,社会
,突破,1.0,高水平,高水平,全球
,程度,1.0,高度重视,高度重视,突破
,科技,1.0,工业化,工业化,提升
,社会,1.0,信息化,信息化,促进
,注入,1.0,,,
,更深,1.0,,,
,新机遇,1.0,,,
,新一轮,1.0,,,
,提升,1.0,,,
,提供,1.0,,,
,推动,1.0,,,
,持续,1.0,,,
,技术,1.0,,,
,愿同,1.0,,,
,当前,1.0,,,
,工业化,1.0,,,
,实现,1.0,,,
,国际,1.0,,,
,各国,1.0,,,
,动能,1.0,,,
,加速,1.0,,,
,创新能力,1.0,,,
,信息化,1.0,,,
,促进,1.0,,,
,产业革命,1.0,,,
,产业,1.0,,,
,中国,1.0,,,
,不断,1.0,,,
,一道,1.0,,,
,,,,,
当前，绿色低碳循环发展成为人类共同目标，人工智能、大数据、5G等新技术与新能源发电、电动汽车等深度融合发展，迫切需要制定和应用相关领域国际标准，加强标准领域国际合作。,领域,2.0,5G,5G,发展
,发展,2.0,碳循环,碳循环,技术
,迫切需要,1.0,领域,领域,加强
,融合,1.0,人工智能,人工智能,合作
,绿色,1.0,国际标准,国际标准,领域
,碳循环,1.0,迫切需要,迫切需要,国际
,相关,1.0,电动汽车,电动汽车,人类
,目标,1.0,融合,融合,人工智能
,电动汽车,1.0,发展,发展,融合
,深度,1.0,发电,发电,应用
,标准,1.0,深度,深度,成为
,新能源,1.0,绿色,绿色,深度
,数据,1.0,新能源,新能源,共同
,技术,1.0,制定,制定,数据
,成为,1.0,应用,应用,绿色
,当前,1.0,,,
,应用,1.0,,,
,国际标准,1.0,,,
,国际,1.0,,,
,合作,1.0,,,
,发电,1.0,,,
,加强,1.0,,,
,制定,1.0,,,
,共同,1.0,,,
,人类,1.0,,,
,人工智能,1.0,,,
,5G,1.0,,,
,,,,,
中国高度重视标准化工作，积极推广应用国际标准，以高标准助力高技术创新，促进高水平开放，引领高质量发展。中国将继续积极支持和参与国际标准化活动，愿同各国一道，不断完善国际标准体系和治理结构，更好发挥标准在国际贸易和全球治理中的作用。,治理,2.0,国际标准,国际标准,发展
,标准化,2.0,标准化,标准化,中国
,国际标准,2.0,治理,治理,国际
,中国,2.0,愿同,愿同,体系
,高质量,1.0,高标准,高标准,全球
,高水平,1.0,推广应用,推广应用,发挥
,高标准,1.0,积极支持,积极支持,促进
,高度重视,1.0,高质量,高质量,作用
,继续,1.0,助力,助力,工作
,结构,1.0,技术创新,技术创新,积极
,积极支持,1.0,不断完善,不断完善,各国
,积极,1.0,高水平,高水平,引领
,活动,1.0,高度重视,高度重视,开放
,标准,1.0,国际贸易,国际贸易,继续
,更好,1.0,引领,引领,技术创新
,推广应用,1.0,,,
,技术创新,1.0,,,
,愿同,1.0,,,
,引领,1.0,,,
,开放,1.0,,,
,工作,1.0,,,
,国际贸易,1.0,,,
,国际,1.0,,,
,各国,1.0,,,
,发挥,1.0,,,
,发展,1.0,,,
,参与,1.0,,,
,助力,1.0,,,
,全球,1.0,,,
,促进,1.0,,,
,作用,1.0,,,
,体系,1.0,,,
,不断完善,1.0,,,
,一道,1.0,,,
,,,,,
区块链技术的集成应用在新的技术革新和产业变革中起着重要作用。我们要把区块链作为核心技术自主创新的重要突破口，明确主攻方向，加大投入力度，着力攻克一批关键核心技术，加快推动区块链技术和产业创新发展。,区块,3.0,区块,区块,创新
,重要,2.0,核心技术,核心技术,发展
,核心技术,2.0,中起,中起,技术
,技术,2.0,创新,创新,推动
,创新,2.0,产业,产业,加快
,产业,2.0,技术革新,技术革新,产业
,集成,1.0,技术,技术,我们
,自主,1.0,突破口,突破口,自主
,突破口,1.0,主攻,主攻,重要
,着力,1.0,集成,集成,关键
,明确,1.0,重要,重要,核心技术
,方向,1.0,攻克,攻克,作用
,攻克,1.0,着力,着力,变革
,推动,1.0,变革,变革,应用
,投入,1.0,自主,自主,加大
,技术革新,1.0,,,
,我们,1.0,,,
,应用,1.0,,,
,变革,1.0,,,
,发展,1.0,,,
,加快,1.0,,,
,加大,1.0,,,
,力度,1.0,,,
,关键,1.0,,,
,作用,1.0,,,
,作为,1.0,,,
,主攻,1.0,,,
,中起,1.0,,,
,一批,1.0,,,
,,,,,
区块链技术应用已延伸到数字金融、物联网、智能制造、供应链管理、数字资产交易等多个领域。目前，全球主要国家都在加快布局区块链技术发展。我国在区块链领域拥有良好基础，要加快推动区块链技术和产业创新发展，积极推进区块链和经济社会融合发展。,区块,5.0,区块,区块,创新
,技术,3.0,技术,技术,发展
,发展,3.0,数字,数字,技术
,领域,2.0,加快,加快,国家
,数字,2.0,领域,领域,推动
,加快,2.0,发展,发展,加快
,金融,1.0,良好基础,良好基础,我国
,资产,1.0,供应链,供应链,产业
,融合,1.0,经济社会,经济社会,领域
,良好基础,1.0,联网,联网,数字
,联网,1.0,融合,融合,推进
,经济社会,1.0,智能,智能,全球
,管理,1.0,延伸,延伸,融合
,积极,1.0,布局,布局,应用
,目前,1.0,多个,多个,积极
,智能,1.0,,,
,推进,1.0,,,
,推动,1.0,,,
,拥有,1.0,,,
,我国,1.0,,,
,延伸,1.0,,,
,应用,1.0,,,
,布局,1.0,,,
,多个,1.0,,,
,国家,1.0,,,
,制造,1.0,,,
,创新,1.0,,,
,全球,1.0,,,
,供应链,1.0,,,
,产业,1.0,,,
,交易,1.0,,,
,主要,1.0,,,
,,,,,
要强化基础研究，提升原始创新能力，努力让我国在区块链这个新兴领域走在理论最前沿、占据创新制高点、取得产业新优势。要推动协同攻关，加快推进核心技术突破，为区块链应用发展提供安全可控的技术支撑。要加强区块链标准化研究，提升国际话语权和规则制定权。要加快产业发展，发挥好市场优势，进一步打通创新链、应用链、价值链。要构建区块链产业生态，加快区块链和人工智能、大数据、物联网等前沿信息技术的深度融合，推动集成创新和融合应用。要加强人才队伍建设，建立完善人才培养体系，打造多种形式的高层次人才培养平台，培育一批领军人物和高水平创新团队。,区块,5.0,区块,区块,创新
,创新,4.0,创新,创新,发展
,应用,3.0,人才培养,人才培养,技术
,加快,3.0,加快,加快,建设
,产业,3.0,应用,应用,推动
,融合,2.0,产业,产业,加快
,研究,2.0,融合,融合,我国
,提升,2.0,优势,优势,加强
,推动,2.0,提升,提升,产业
,发展,2.0,最前沿,最前沿,领域
,加强,2.0,加强,加强,研究
,优势,2.0,推动,推动,国际
,人才培养,2.0,人才队伍,人才队伍,基础
,高水平,1.0,价值链,价值链,体系
,高层次,1.0,攻关,攻关,推进
,领域,1.0,,,
,领军人物,1.0,,,
,集成,1.0,,,
,进一步,1.0,,,
,这个,1.0,,,
,话语权,1.0,,,
,规则,1.0,,,
,联网,1.0,,,
,突破,1.0,,,
,生态,1.0,,,
,理论,1.0,,,
,深度,1.0,,,
,核心技术,1.0,,,
,标准化,1.0,,,
,构建,1.0,,,
,最前沿,1.0,,,
,新兴,1.0,,,
,数据,1.0,,,
,攻关,1.0,,,
,支撑,1.0,,,
,提供,1.0,,,
,推进,1.0,,,
,技术,1.0,,,
,打造,1.0,,,
,打通,1.0,,,
,我国,1.0,,,
,强化,1.0,,,
,建设,1.0,,,
,建立,1.0,,,
,平台,1.0,,,
,市场,1.0,,,
,完善,1.0,,,
,安全,1.0,,,
,多种形式,1.0,,,
,基础,1.0,,,
,培育,1.0,,,
,国际,1.0,,,
,团队,1.0,,,
,可控,1.0,,,
,取得,1.0,,,
,发挥,1.0,,,
,原始,1.0,,,
,占据,1.0,,,
,协同,1.0,,,
,努力,1.0,,,
,前沿,1.0,,,
,制高点,1.0,,,
,制定,1.0,,,
,创新能力,1.0,,,
,信息技术,1.0,,,
,体系,1.0,,,
,价值链,1.0,,,
,人才队伍,1.0,,,
,人工智能,1.0,,,
,一批,1.0,,,
,,,,,
要抓住区块链技术融合、功能拓展、产业细分的契机，发挥区块链在促进数据共享、优化业务流程、降低运营成本、提升协同效率、建设可信体系等方面的作用。要推动区块链和实体经济深度融合，解决中小企业贷款融资难、银行风控难、部门监管难等问题。要利用区块链技术探索数字经济模式创新，为打造便捷高效、公平竞争、稳定透明的营商环境提供动力，为推进供给侧结构性改革、实现各行业供需有效对接提供服务，为加快新旧动能接续转换、推动经济高质量发展提供支撑。要探索“区块链+”在民生领域的运用，积极推动区块链技术在教育、就业、养老、精准脱贫、医疗健康、商品防伪、食品安全、公益、社会救助等领域的应用，为人民群众提供更加智能、更加便捷、更加优质的公共服务。要推动区块链底层技术服务和新型智慧城市建设相结合，探索在信息基础设施、智慧交通、能源电力等领域的推广应用，提升城市管理的智能化、精准化水平。要利用区块链技术促进城市间在信息、资金、人才、征信等方面更大规模的互联互通，保障生产要素在区域内有序高效流动。要探索利用区块链数据共享模式，实现政务数据跨部门、跨区域共同维护和利用，促进业务协同办理，深化“最多跑一次”改革，为人民群众带来更好的政务服务体验。,区块,9.0,区块,区块,创新
,技术,5.0,探索,探索,发展
,提供,4.0,数据共享,数据共享,技术
,推动,4.0,技术,技术,建设
,探索,4.0,推动,推动,经济
,利用,4.0,利用,利用,推动
,领域,3.0,提供,提供,加快
,经济,3.0,精准,精准,产业
,服务,3.0,便捷,便捷,领域
,更加,3.0,促进,促进,人才
,城市,3.0,领域,领域,数字
,促进,3.0,服务,服务,实现
,高效,2.0,更加,更加,体系
,融合,2.0,协同,协同,社会
,群众,2.0,政务,政务,推进
,精准,2.0,,,
,模式,2.0,,,
,智慧,2.0,,,
,方面,2.0,,,
,数据共享,2.0,,,
,政务,2.0,,,
,改革,2.0,,,
,提升,2.0,,,
,建设,2.0,,,
,实现,2.0,,,
,协同,2.0,,,
,区域,2.0,,,
,信息,2.0,,,
